903930,EIKE
403150,IPCC
294390,Erwärmung
204510,Trump
178370,NOAA
175060,Klimamodell
173940,DWD
158740,anthropogen
152220,Klimawandel
130630,Meeresspiegel
128820,Sonnenaktivität
126070,Klimawissenschaft
123160,CO2
118230,Schellnhuber
107910,Klimawissenschaftler
100160,AR5
100110,Rahmstorf
99080,Klimaforscher
97180,Meereis
90860,Pik
89420,Warmzeit
88060,menschengemacht
84720,Eiszeit
80900,Klimaretter
80470,WUWT
80310,Lesch
78970,Temperaturverlauf
74750,Hurrikan
73100,AMO
72960,AfD
71690,Klimasensitivität
69730,Temperaturanstieg
69270,alarmistisch
69110,Sonnenscheindauer
67460,vorindustriell
66790,kaltesonn
66510,Simbach
66240,Treibhauseffekt
66220,Dürre
65650,Hendricks
63720,GISS
63590,Caller
63210,Erderwärmung
63050,Klimaleugner
62420,Wärmeinseleffekt
61000,Treibhausgas
60470,Arktis
59080,Dekarbonisierung
58820,Greta
57840,Holozän
57010,Meeresspiegelanstieg
56910,Extremwetter
56310,Klimatologie
56090,Mitteltemperatur
55330,EPA
55180,Heartland
54730,Klimapolitik
54530,Weltklimarat
54090,Eisschild
53970,Gore
53060,Klimaforschung
52890,Kiribati
52770,Alarmist
52160,Abkühlung
51750,Lufttemperatur
50830,Klimakatastrophe
50740,Wetterdienst
50220,Rückkopplung
50010,WIKIPEDIA
49490,AGW
48030,Temperaturänderung
47460,Pruitt
46460,Erwärmungstrend
46400,Großwetterlage
46000,menschgemacht
45840,arktisch
45240,Nordatlantik
45180,erwärmend
45130,NASA
44970,Meerespegel
44650,Pegelanstieg
44310,global
43980,Lüdecke
43790,Mörner
43240,Antarktis
43040,Nordhemisphäre
42660,Latif
42220,Klimaänderung
41550,Klimaskeptiker
41290,Wärmeinsel
41040,Kowatsch
40800,Stocker
40690,Klima
40570,Klimavertrag
40390,Troposphäre
40240,Temperaturentwicklung
39670,WMO
39440,atmosphärisch
38900,Kohlendioxid
38760,Klimaabkommen
